Country,Total Cases,Total Deaths,Continent
United States,"7,549,323","213,524",North America
India,"6,473,544","100,875",Asia
Brazil,"4,882,231","145,431",South America
Russia,"1,204,502","21,251",Europe
Colombia,"841,531","26,397",South America
Peru,"821,564","32,609",South America
Spain,"810,807","32,086",Europe
Argentina,"779,689","20,599",South America
Mexico,"753,090","78,492",North America
South Africa,"677,833","16,909",Africa
France,"589,653","32,155",Europe
United Kingdom,"467,146","42,268",Europe
Chile,"466,590","12,867",South America
Iran,"464,596","26,567",Asia
Iraq,"372,259","9,298",Asia
Bangladesh,"366,383","5,305",Asia
Saudi Arabia,"335,578","4,823",Asia
Turkey,"321,512","8,325",Asia
Italy,"319,908","35,941",Europe
Philippines,"319,330","5,678",Asia
Pakistan,"313,984","6,507",Asia
Germany,"298,363","9,596",Europe
Indonesia,"295,499","10,972",Asia
Israel,"258,920","1,633",Asia
Ukraine,"222,322","4,353",Europe
Canada,"162,659","9,409",North America
Ecuador,"139,534","11,495",South America
Bolivia,"136,219","8,045",South America
Romania,"132,001","4,915",Europe
Morocco,"128,565","2,263",Africa
Netherlands,"127,922","6,428",Europe
Qatar,"126,164",215,Asia
Belgium,"124,234","10,037",Europe
Panama,"113,962","2,406",North America
Dominican Republic,"113,350","2,117",North America
Kazakhstan,"108,106","1,725",Asia
Kuwait,"106,087",615,Asia
Egypt,"103,466","5,956",Africa
Oman,"98,585",935,Asia
Poland,"98,140","2,604",Europe
United Arab Emirates,"96,529",424,Asia
Sweden,"94,283","5,895",Europe
Guatemala,"93,090","3,267",North America
China,"85,434","4,634",Asia
Japan (+Diamond Princess),"84,927","1,591",Asia
Nepal,"82,450",520,Asia
Belarus,"79,421",844,Europe
Honduras,"78,269","2,386",North America
Czech Republic (Czechia),"78,051",699,Europe
Costa Rica,"77,829",930,North America
Portugal,"77,284","1,983",Europe
Ethiopia,"76,988","1,208",Africa
Venezuela,"76,820",643,South America
Bahrain,"71,803",255,Asia
Nigeria,"59,127","1,112",Africa
Singapore,"57,800",27,Asia
Uzbekistan,"57,776",475,Asia
Moldova,"55,016","1,344",Europe
Switzerland,"54,384","2,075",Europe
Armenia,"51,925",972,Asia
Algeria,"51,847","1,749",Africa
Kyrgyzstan,"47,056","1,065",Asia
Ghana,"46,694",301,Africa
Austria,"46,374",803,Europe
Paraguay,"42,684",890,South America
Lebanon,"42,173",386,Asia
State of Palestine,"40,766",321,Asia
Azerbaijan,"40,453",594,Asia
Afghanistan,"39,297","1,462",Asia
Kenya,"38,923",725,Africa
Ireland,"37,063","1,801",Europe
Libya,"35,717",570,Africa
Serbia,"33,735",751,Europe
Hungary,"29,717",812,Europe
El Salvador,"29,175",853,North America
Denmark,"28,932",652,Europe
