,,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
0,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
1,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
2,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
3,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
4,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
5,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
6,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
7,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
8,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
9,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
10,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
11,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
12,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
13,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
14,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
15,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
16,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
17,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
18,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
19,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
20,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
21,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
22,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
23,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
24,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
25,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
26,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
27,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
28,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
29,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
30,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
31,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
32,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
33,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
34,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
35,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
36,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
37,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
38,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
39,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
40,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
41,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
