Sno,User,Rating,Review
1,Mario Savi,1,"Since a week or so the app is not recording audio messages. I need to restart the phone to get it to work. I thought it was the Android 10 update of my Fairphone but now I see a lot of users complaining about so many problems that I'm not sure what it is anymore... It used to work quite well, I'm sad to give a low score but it's the only way to grab the company's attention..."
2,Mohsen Ahmed,1,"I don't know what happened to this app . It was one of the best apps but now it's the worst. Sometimes not able to share some videos or pictures to other contacts , only forwarding which also not allow me more than 1 recipient only. Moreover, I used to share media with other group of broadcasting, but now when chose sharing option, these groups doesn't appear in the list. I have to open one by one and select it from the attach file."
3,Keerthana Babu,5,"This app is very useful for chating and calling. It's a new experience. This app is very useful for our studies, assignments, home work, etc. They have many negative and positive impact. So my dear friends usage of this app will be reduced. This is a good tool for education. But a student have spent in online 72 hours in per week. That mean students have been many physical and mental problems in their life. So my dear friends i am concluding my words, THANK YOU\U0001f970\U0001f970\U0001f60b\U0001f4aa"
4,Dee Queen,1,"It is the app that I use most but Since the new update, I am unable to continue conversations with people calling; Their voice breaks poorly after a couple of seconds from receiving the call and they complain !! So annoying and drives me nuts and that makes me try other apps to talk to them !!! Hope this problem gets fixed fast. I have good internet connection."
5,Valent\xedn J. RdP,3,"It is lacking of tools to ""filter"" messages in group (or single) chats (BY A TIME PERIOD or messages from certain members of the group, etc), then, once filtered, select messages and delete or archive them. The only criterium is ""star"" or ""no star"" too poor!! It might be a sort of ""Advanced Search"", from date: dd-mm-yy1, to date: dd-mm-yy2, for contacts: contact1, contact2,contact_list... Otherwise, fine."
6,Anuj Verma,1,"1. ""Create one such option on WhatsApp. No individual person could send a call or message..Until we add that person to our contact list."" There is a reason for this..know one know send "" unknown links or message. 2. As such, there is an option in the phone, anonymous call and unknown message note send. Which will save the user's information and data."
7,Shan Shaheem PV,1,"Found a new bug. In status session, while you watching any status and closes it by swiping down, next or previous status is shown instead of closing. I talked with my friend and he too said the same problem. We both are using same phone brand(Realme 3 Pro). First I thought it's problem with my phone then same issue is reported by my friend. So please fix that bug. Thank you"
8,N K Sinha,1,"Since the last update, it has become total trash! Constantly keeps crashing and/or screen goes black for a sec and goes back to home screen. Can't type anything, nor can read messages or see statuses nor can call anyone. And from reading other updates I've come to know it's not my device's fault, but it's a huge bug since last update. Please fix it ASAP"
9,dipali patil,4,"I have a suggestion , you can make a update in which the person will say something and it will be written in letters .It will also save time of typing as in office we cannot hear the audio . If there is a message he can read it . Also many people cannot type very fast they need time .Here they can just say and it will convert into words .Thank you i think surely you will implement"
10,Anu Kumari,1,"I do have a great problem with this app nowadays. I updated this recently, and the new one is not good. The problem is that whenever we type or see a status it comes back to the home screen without giving any command. Developers its a request kindly fix it a ASAP. This app was very nice. it made our work easy!"
11,Alan,4,"Very nice app. I would like to have a feature also, you want to add a scroll button in the right side of group and individual chat as in Microsoft word. Because then I can easily scroll to the previous chats. Now it take too much time for me to see previous chats. I hope you will add this feature."
12,S Park,4,"Annoyed that the pop-up notification is no longer available on Android 10!!! This feature is really important to myself and many others, please return it to Android phones as we keep missing messages because of it!! At you should've asked consumers whether we wanted you to remove this feature! Really annoying!"
13,Shima Ra,1,"Most of the time, I cannot download and view files and documents sent to me a few days earlier. WhatsApp says those documents are not available in my phone memory. I have never encountered such issues with the Telegram messaging app. I am mostly using WhatsApp for business communication, but Telegram has proved much more reliable in keeping my messages organized and safe in cloud storage. Additionally, I do not like the fact that you can only use WhatsApp on only one device at a time."
14,Daniel Andrew Stevenson,4,VN had some bugs. Hope it doesn't happen again. I keep on updating but still the bug remains when I open the vn it bombs out and goes into silent mode. Have to keep on tapping the screen on home button to recover the vn. What else could be wrong? This is a galaxy A7 phone & it does reboot even when it busy with an app. Anyhow out there with some HELPFUL ADVICE?
15,Marina Labuschagne,3,"Since my whatsapp updated 9 hours ago my notification sounds are not working. The only alert I get that I have a new message is the vibrate sound. I have restarted my phone, switched it off completely, but nothing has changed. It is very frustrating. My husband has exactly the same problem!!!"
16,Niquel Bones,4,"***This issue has been fixed with the latest update, im still keeping this public for future reference tho*** Pretty sure this app causes a memory leak on older devices since the last update. It ends up saturating the RAM and the phone ends up restarting all active processes, which means the app crashes for a sec and if you were in the middle of writing a message well tough luck i hope youre ready to type it all again"
17,festy Omime,4,"WhatsApp has always been great, it gets even better but lately when I try to share photos or videos either to my contacts or status they seem cracked, like of poor quality, and my app is updated I don't know why, It happens with Samsung devices I've confirmed from 2 other persons, pls see to this.All in all WhatsApp is great, good work guys!!"
18,sunaina dalaya,1,"The worst experience thus far since the last update. Whatsapp keeps shutting down after a few seconds of opening it. At first I thought my phone was acting up, but I see from the reviews that others seem to be facing the same problem. This is a nightmare. If you don't fix this bug, your app is useless and might as well be uninstalled regardless of how useful it was in the past."
19,Lyah Dr,2,"Ok so... I updated my whatsapp and... it's just not working! At first, I tought it was my device or somerhing, but no! I've seen so many people complaining 'bout the same issue. My screen just go black and turn back to the home screen or it just exits by itself. Please fix this problem! I need to talk on whatsapp for my virtual classes... please fix this as soon as posible."
20,Wayne De France,3,"After the Sept 30, 2020 update, I can no longer download pictures and documents sent to me, however it indicates to the sender that I have reciever them by showing the 2 blue stars. I can send pictures and documents fine, others receive them. No fixes have worked so far."
21,TheRecommender,5,My experience with the app is good despite of the technical difficulties that can occur but is it possible to add more left handed emoticons and to bring back the revolver emoticon (if you want to). And is it possible to create something where users can add a custom track to their account so when their account is being viewed then the track they selected starts playing. And lastly can their story duration atleast be 45 seconds? Yours truly -Your friendly neighbourhood Spiderman
22,nilesh iwari,1,Dear sir always while trying to do backup my mobile phone shows error that if we are roaming we cannot backup chats. we need Wi-Fi for that. in general Wi-Fi is not available in India at most places. after coming of jio people are roaming and using the mob networks for using internet. as such request you to kindly change your policy in India and allow WhatsApp backup using internet data at roaming place as well. hope you take this in right spirit and do the necessary corrections at the earliest
23,Olaoluwa Ikuesan,4,"WhatsApp, it's been lagging of late, that's not even my displeasure. Can the developers please separate the groups from the personal messages? Like, they should be on different tabs, it really helps and makes navigation easier, saw it in a modified whatsApp, and Telegram has already adapted it. And, can we edit that ""WhatsApp"" at the top left of the app to our names?"
24,Abubakker Khan,1,"Since a week or so whatsapp started behaving strange. Calls or suddenly dropping off. When typing messages suddenly the keyboard dissapears and the chat closes. Very irritating. At first i thought it was my device acting up, but now i see others are experiencing the same issues. Come on whatsapp. Never had a single problem before. Pleas fix this asap. Thanks."
