sku,Collection,Type,Handle,Variant Name,Variant Price,In Stock,URL,Image Src,Body
16 -Design 15 - Wild Flower,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 15 - Wild Flower,Default Title,2045.25,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-15-wild-flower,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-15C-800x1167.jpg?v=1571438799,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Embroidered Neckline<br>Dyed Trouser 2.5m<br>Voil Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 15 - Wild Flower,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-15B-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 15 - Wild Flower,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d15-back-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 15 - Wild Flower,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d15-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 15 - Wild Flower,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-15-800x1167.jpg?v=1571438799,
“ Design 9 - Victorian Revival,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 9 - Victorian Revival,Default Title,2247.75,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-9-victorian-revival,https://cdn.shopify.com/s/files/1/0666/3041/products/d09-800x1167.jpg?v=1571438799,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Embroidered Neckline <br>Embroidered Patti<br>Dyed Trouser 2.5m<br>Voil Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 9 - Victorian Revival,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-9C-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 9 - Victorian Revival,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-9B-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 9 - Victorian Revival,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-9-800x1167.jpg?v=1571438799,
'-Design 5 - Floral Fantasy,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 5 - Floral Fantasy,Default Title,2450.25,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-5-floral-fantasy,https://cdn.shopify.com/s/files/1/0666/3041/products/d05-800x1167.jpg?v=1571438799,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Front Embroidered<br>Dyed Trouser 2.5m<br>Silk Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 5 - Floral Fantasy,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-5-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 5 - Floral Fantasy,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-5C-800x1167.jpg?v=1571438799,
“ Design 12 - Ornamental Dream,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 12 - Ornamental Dream,Default Title,2045.25,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-12-ornamental-dream,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-12-800x1167.jpg?v=1571438799,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Embroidered Neckline<br>Dyed Trouser 2.5m<br>Voil Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 12 - Ornamental Dream,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-12B-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 12 - Ornamental Dream,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d12-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 12 - Ornamental Dream,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-12C-800x1167.jpg?v=1571438799,
€“ Design 6 - Chintz Palampose,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 6 - Chintz Palampose,Default Title,2045.25,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-6-chintz-palampose,https://cdn.shopify.com/s/files/1/0666/3041/products/d06-800x1167.jpg?v=1571438799,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Embroidered Neckline<br>Embroidered Patti<br>Dyed Trouser 2.5m<br>Voil Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
