Writer,Headline,Sub-headline,Further Reading
Osman Samiuddin,"The balls of the century, No. 14: James Anderson to Kraigg Braithwaite","Wicked, diabolical, genuine inswing",http://www.thecricketmonthly.com/story/1229825/the-balls-of-the-century--no--14--james-anderson-to-kraigg-braithwaite
George Dobell,Eoin Morgan's gambler instincts engineer England's remarkable comeback,Jofra Archer and Chris Woakes backed up their captain's move when the game appeared to be lost,http://www.espncricinfo.com/ci/content/story/1232238.html
Andrew Fidel Fernando,Why Bangladesh vs Sri Lanka is so watchable even when they aren't playing,And what do you think of Prithvi Shaw becoming a Shastri lookalike?,http://www.espncricinfo.com/ci/content/story/1234098.html
Danyal Rasool,"Mohammad Rizwan stars, Fawad Alam and Asad Shafiq stumble",Yasir Shah's feast-or-famine fortunes contrast with unfortunate Mohammad Abbas' consistency,http://www.espncricinfo.com/ci/content/story/1230481.html
Ian Chappell,Dean Jones will always be known for Madras,Remembering his most magnificent innings and what it said about his skills and endurance,http://www.espncricinfo.com/ci/content/story/1233498.html
S Rajesh,"James Anderson - ageless, and a champion in home conditions","He is the first fast bowler to take 600 Test wickets, and he doesn't look ready to stop",http://www.espncricinfo.com/ci/content/story/1230369.html
Sidharth Monga,"The legendary Mumbai mentor who made a mark on the careers of Rohit Sharma, Dravid, Gavaskar and others","Vasoo Paranjape was a one-man operation of scouting, captaincy and coaching, whose influence spans cricket generations",http://www.espncricinfo.com/ci/content/story/1232968.html
Steven Lynch,Was the Rajasthan Royals' 226 for 6 last week the highest successful chase in the IPL?,Also: is Pakistan's 574 against Australia in 1972-73 the highest Test total in defeat?,http://www.espncricinfo.com/magazine/content/story/1234543.html
Firdose Moonda,How issues of race have cast South African cricket into turbulence this winter,The Black Lives Matter movement has set a fire raging in the game in the country,http://www.espncricinfo.com/ci/content/story/1229943.html
Sharda Ugra,"The balls of the century, No. 10: Shane Warne to VVS Laxman",Sometimes even a stock delivery can look spectacular (and change the course of a series),http://www.thecricketmonthly.com/story/1228601/the-balls-of-the-century--no--10--shane-warne-to-vvs-laxman
Andrew McGlashan,Australia women's record glory run in ODIs: how they made it 20 wins in a row,"As Meg Lanning's team resumes playing the 50-over format, here's a lookback at their run so far",http://www.espncricinfo.com/ci/content/story/1234203.html
Tim Wigmore,Where do batsmen like Kane Williamson and Virat Kohli fit into a T20 line-up?,"They play an anchor's role for their sides, but they need to constantly adapt so as not to become redundant
",http://www.espncricinfo.com/ci/content/story/1232981.html
Andrew Miller,"England players at the IPL, week one: Jofra Archer, six-hitter, and Eoin Morgan makes a mark",All the action and talking points around England's IPL contingent after the opening week,http://www.espncricinfo.com/ci/content/story/1233715.html
Mohammad Isam,Bangladesh combine new blood with old smarts as preparation for Under-19 World Cup title defence begins,"Preliminary squad and plans in place, defending champions wait for opportunities to play competitive cricket",http://www.espncricinfo.com/ci/content/story/1233390.html
