About,Short Summary,Further Reading
Meg Lanning: 'I've been more willing to show my emotions and build relationships with the squad',"The Australia captain talks about her batting ambitions, how she has matured as a leader, and watching Ellyse Perry and Alyssa Healy grow into superstars",https://www.thecricketmonthly.com/story/1233719/meg-lanning---i-ve-been-more-willing-to-show-my-emotions-and-build-relationships-with-the-squad
"The balls of the century, No. 8: Irfan Pathan to Mohammad Yousuf",Irfan Pathan and the shape of inevitability. By Rahul Bhattacharya,https://www.thecricketmonthly.com/story/1228535/the-balls-of-the-century--no--8--irfan-pathan-to-mohammad-yousuf
Does India have a plan for the mental health of its players?,"Cricketers are more open about anxiety and depression than ever before, but systemic support is missing",https://www.thecricketmonthly.com/story/1233099/does-india-have-a-plan-for-the-mental-health-of-its-players
"The balls of the century, No. 9: Andrew Flintoff to Ricky Ponting",An allrounder in his prime against a world-class batsman under pressure to protect his team's No. 1 status,https://www.thecricketmonthly.com/story/1229291/the-balls-of-the-century--no--9--andrew-flintoff-to-ricky-ponting
"The balls of the century, No. 10: Shane Warne to VVS Laxman","Sep 22, 2020: Sometimes even a stock delivery can look spectacular (and change the course of a series)",https://www.thecricketmonthly.com/story/1228601/the-balls-of-the-century--no--10--shane-warne-to-vvs-laxman
Shikha Pandey: 'I remember reading that Sachin aspired to be a fast bowler',"Sep 21, 2020: It wasn't just batters Tendulkar inspired. An India Women opening bowler is proof",https://www.thecricketmonthly.com/story/1232003/shikha-pandey---i-remember-reading-that-sachin-aspired-to-be-a-fast-bowler
"Here's looking at you, kid","Sep 20, 2020: Who's the cutest cricket baby of them all?",https://www.thecricketmonthly.com/story/1232662/here-s-looking-at-you--kid
"The balls of the century, No. 11: Simon Jones to Michael Clarke","Sep 17, 2020: Reverse swing that made you drool",https://www.thecricketmonthly.com/story/1229126/the-balls-of-the-century--no--11--simon-jones-to-michael-clarke
"The balls of the century, No. 12: Jasprit Bumrah to Shaun Marsh","Sep 12, 2020: What's for lunch? A slower one, served hot",https://www.thecricketmonthly.com/story/1229097/the-balls-of-the-century--no--12--jasprit-bumrah-to-shaun-marsh
Young 'uns and big guns,"Sep 7, 2020: Tymal Mills picks an all-time T20 XI from among the cricketers he played alongside",https://www.thecricketmonthly.com/story/1230497/young--uns-and-big-guns
"The balls of the century, No. 13: Irfan Pathan to Adam Gilchrist","Sep 7, 2020: The whiplash departure. The death wobble. The fatal yorker",https://www.thecricketmonthly.com/story/1228297/the-balls-of-the-century--no--13--irfan-pathan-to-adam-gilchrist
"The balls of the century, No. 14: James Anderson to Kraigg Braithwaite","Sep 2, 2020: Wicked, diabolical, genuine inswing",https://www.thecricketmonthly.com/story/1229825/the-balls-of-the-century--no--14--james-anderson-to-kraigg-braithwaite
Who is the real Mohammad Amir?,"Aug 31, 2020: The teenage sensation from 2010? The more workmanlike post-ban bowler? An intelligent loner? Let's visit the various worlds he has lived in",https://www.thecricketmonthly.com/story/1230522/who-is-the-real-mohammad-amir
"The balls of the century, No. 15: Andrew Flintoff to Jacques Kallis","Aug 28, 2020: When fast is furious",https://www.thecricketmonthly.com/story/1228334/the-balls-of-the-century--no--15--andrew-flintoff-to-jacques-kallis
